id,category,value,text
487,toys,29.27,plan reduce partition partition columnar lake lake join
488,toys,87.2,partition row filter scala etl metrics elt
489,books,1.45,metrics data partition etl python data map reduce join filter elt partition
490,grocery,53.3,data shuffle join elt row reduce data shuffle ui spark ui
491,books,23.29,spark etl ui aggregate spark map join reduce row filter warehouse
492,books,49.26,partition spark etl partition etl data map shuffle etl lake python scala
493,toys,15.5,etl plan filter python shuffle
494,books,96.67,data partition scala map etl elt spark columnar
495,grocery,95.13,python filter etl row python columnar
496,toys,46.69,elt row map elt spark lake scala metrics ui columnar ui reduce
497,electronics,44.78,scala partition plan row columnar shuffle spark partition join row elt
498,electronics,48.23,filter reduce columnar python shuffle
499,toys,95.63,aggregate shuffle plan join aggregate lake
500,electronics,80.48,lake row reduce row shuffle elt row data plan columnar
501,grocery,92.82,aggregate metrics filter partition ui reduce join warehouse elt
502,electronics,84.56,join aggregate metrics shuffle lake plan etl map partition warehouse
503,grocery,99.32,warehouse data join row filter reduce python warehouse ui
504,toys,10.9,etl reduce lake python elt shuffle elt elt python reduce
505,books,80.67,spark ui data data plan row spark shuffle lake lake data join
506,grocery,24.05,partition plan join warehouse warehouse metrics lake filter python row ui columnar
507,toys,68.34,warehouse plan map filter elt lake aggregate columnar metrics
508,electronics,14.44,map elt elt aggregate reduce reduce lake lake python
509,grocery,74.91,join spark row aggregate elt
510,toys,42.69,lake lake scala metrics metrics warehouse python row reduce
511,grocery,23.29,plan etl elt columnar ui ui spark python warehouse etl python
512,electronics,68.51,row warehouse join elt aggregate metrics
513,books,65.37,spark plan join python aggregate row scala warehouse map metrics
514,electronics,15.52,ui lake map scala shuffle map
515,toys,9.54,warehouse reduce metrics data data
516,electronics,4.02,shuffle row warehouse aggregate columnar elt plan python
517,books,21.95,data reduce elt python shuffle row
518,electronics,21.97,map filter scala filter ui join
519,books,80.93,plan lake data etl spark
520,toys,67.67,data aggregate map spark warehouse
521,electronics,75.84,lake partition map aggregate data scala python scala join filter partition row
522,electronics,23.5,warehouse scala filter elt ui columnar filter
523,books,61.74,elt warehouse join plan shuffle filter reduce row
524,grocery,44.79,ui warehouse etl spark warehouse lake join plan lake columnar reduce data
525,toys,48.76,etl elt shuffle row map map elt lake
526,toys,91.59,reduce etl scala data map elt join join ui filter data
527,toys,68.37,python join metrics ui shuffle filter metrics shuffle ui
528,toys,97.04,row metrics metrics aggregate lake lake partition
529,toys,5.56,reduce warehouse reduce shuffle partition join map lake reduce
530,electronics,56.61,etl row partition data metrics metrics aggregate
531,grocery,6.18,elt scala columnar shuffle warehouse filter scala
532,toys,88.0,metrics shuffle etl ui warehouse warehouse map partition etl
533,electronics,57.2,reduce scala elt map columnar spark columnar etl join
534,grocery,77.92,join map python filter shuffle
535,toys,94.87,metrics columnar scala metrics aggregate elt columnar elt
536,grocery,70.8,elt reduce etl partition reduce elt elt scala
537,books,44.18,elt reduce columnar reduce elt warehouse elt columnar join filter plan etl
538,toys,50.44,python shuffle elt join shuffle scala plan join filter partition data
539,grocery,75.18,shuffle row partition plan row
540,books,27.11,warehouse elt scala lake shuffle map scala plan aggregate
541,books,66.11,metrics aggregate partition scala filter
542,toys,9.0,plan lake ui filter row metrics etl elt etl
543,grocery,99.34,columnar join metrics columnar filter spark row
544,books,64.01,elt lake row plan reduce partition elt warehouse partition join
545,books,60.48,scala warehouse lake data spark
546,electronics,15.12,columnar join join ui filter scala lake partition scala partition metrics warehouse
547,grocery,57.54,metrics ui lake lake partition python ui filter join join shuffle warehouse
548,books,55.31,ui python row aggregate map map aggregate
549,books,37.25,columnar filter lake partition plan shuffle python spark metrics join ui
550,electronics,63.04,filter elt join reduce row data shuffle ui
551,toys,23.07,partition data lake spark shuffle elt data python data map
552,books,20.26,ui map partition filter data scala shuffle warehouse shuffle shuffle
553,electronics,24.82,metrics map map join ui aggregate shuffle warehouse metrics
554,grocery,0.19,warehouse aggregate row spark filter
555,books,20.39,aggregate plan spark data metrics elt etl etl scala
556,grocery,65.21,python filter data lake elt elt aggregate map
557,electronics,18.34,plan join scala columnar scala elt shuffle scala lake reduce spark reduce
558,electronics,47.11,filter row partition partition ui map shuffle warehouse data
559,books,26.82,spark aggregate columnar metrics elt etl plan join
560,books,50.78,aggregate partition columnar lake data partition
561,electronics,35.26,etl columnar elt aggregate aggregate ui plan aggregate filter elt
562,books,34.48,partition row lake python shuffle ui join map scala metrics metrics metrics
563,grocery,8.8,elt filter warehouse ui scala etl partition columnar plan shuffle join
564,books,11.69,lake warehouse row aggregate aggregate columnar
565,toys,73.96,plan map lake ui spark
566,toys,53.18,elt plan join metrics data
567,grocery,75.15,plan join spark row partition map reduce join spark elt reduce
568,toys,53.68,filter lake spark data partition spark row row columnar ui spark plan
569,toys,43.11,scala map lake partition elt etl python join row
570,grocery,21.61,scala aggregate scala row reduce aggregate join ui
571,grocery,25.04,elt map python shuffle elt plan
572,electronics,63.04,join spark plan filter reduce python spark ui join elt
573,toys,35.98,etl metrics row columnar columnar filter elt data metrics
574,toys,12.33,metrics warehouse row row plan python data shuffle scala
575,electronics,83.65,row elt scala warehouse partition map data spark warehouse
576,electronics,32.72,metrics plan lake lake lake spark spark
577,books,21.35,warehouse python ui join lake shuffle plan reduce ui ui columnar
578,grocery,27.05,elt data aggregate reduce python row lake reduce
579,books,79.11,metrics partition shuffle metrics python filter aggregate metrics elt plan spark
580,books,76.09,python shuffle shuffle partition metrics elt metrics map
581,toys,85.14,plan map etl python columnar
582,grocery,38.79,columnar python plan plan plan map data warehouse metrics partition
583,electronics,45.33,columnar row etl elt lake spark spark columnar aggregate
584,toys,59.82,elt reduce map data ui data columnar aggregate reduce partition plan
585,grocery,0.98,scala scala metrics join warehouse shuffle metrics warehouse
586,grocery,16.78,python filter map partition map data
587,toys,54.13,warehouse shuffle ui warehouse data metrics partition columnar
588,grocery,86.33,join partition reduce warehouse etl map metrics etl
589,grocery,36.85,lake etl ui filter map join plan columnar shuffle python shuffle lake
590,electronics,60.64,join python partition reduce map row spark data aggregate lake python
591,electronics,42.37,ui shuffle join warehouse python spark elt partition warehouse warehouse
592,books,29.71,join partition row row aggregate partition reduce map metrics
593,books,99.26,etl python plan python metrics columnar warehouse map
594,toys,29.64,etl filter row ui ui spark scala etl warehouse map
595,electronics,5.66,aggregate ui scala partition join metrics reduce columnar shuffle map reduce spark
596,grocery,85.33,map reduce warehouse map filter map map
597,electronics,36.23,row partition etl spark join reduce python row scala map filter filter
598,toys,89.99,join python scala shuffle lake partition reduce ui scala etl filter
599,toys,80.96,metrics aggregate columnar python row metrics python
600,grocery,29.71,shuffle row reduce row scala shuffle metrics shuffle
601,books,85.82,warehouse join spark spark elt scala
602,electronics,15.46,row reduce etl warehouse map row elt shuffle metrics filter
603,toys,55.78,etl etl lake lake reduce
604,toys,34.24,reduce ui ui join reduce data scala
605,grocery,60.23,metrics etl map row map partition plan map join ui etl python
606,toys,65.59,filter shuffle plan filter shuffle shuffle ui shuffle data partition join warehouse
607,toys,80.14,columnar spark data columnar scala spark plan ui
608,books,20.48,plan python map python aggregate scala ui
609,toys,36.01,lake filter python columnar elt
610,grocery,57.12,python scala data filter row plan metrics etl
611,books,34.27,reduce columnar shuffle elt columnar data reduce data ui map
612,books,70.02,lake spark columnar spark python elt shuffle
613,toys,68.68,aggregate partition map aggregate columnar elt map spark map scala warehouse warehouse
614,toys,0.33,columnar shuffle scala columnar aggregate
615,grocery,31.69,aggregate filter reduce scala scala scala spark data python etl filter spark
616,electronics,29.34,elt spark elt ui row
617,books,99.76,scala partition aggregate aggregate data ui etl plan ui lake
618,toys,39.28,row ui spark plan aggregate metrics scala spark aggregate aggregate
619,grocery,27.38,spark reduce plan metrics join data shuffle filter data
620,toys,40.27,shuffle elt lake partition reduce aggregate partition warehouse elt
621,books,1.31,filter row partition aggregate shuffle ui warehouse metrics join metrics
622,electronics,28.48,map warehouse filter lake aggregate partition join python python python scala shuffle
623,grocery,45.53,elt shuffle scala row join lake plan reduce data ui shuffle partition
624,electronics,93.21,etl reduce data join data python metrics spark filter etl aggregate row
625,electronics,83.29,map partition scala columnar elt lake spark scala
626,toys,49.42,ui row reduce columnar plan join lake elt elt shuffle
627,electronics,55.57,ui ui aggregate map join etl python elt map partition data
628,electronics,69.94,scala partition join row ui lake
629,electronics,56.66,ui plan data shuffle plan join ui scala join
630,toys,77.73,data row etl shuffle columnar etl shuffle elt scala python lake elt
631,books,24.71,warehouse aggregate row join filter shuffle plan
632,electronics,15.59,map plan lake lake lake scala partition
633,toys,86.18,warehouse metrics python spark lake partition
634,toys,73.89,filter lake ui reduce etl partition scala ui
635,electronics,98.92,columnar aggregate partition aggregate partition aggregate python warehouse lake shuffle join
636,grocery,23.09,python elt warehouse elt join filter
637,books,2.63,reduce ui filter plan ui columnar
638,books,45.88,scala columnar elt plan aggregate filter ui reduce row
639,electronics,49.29,reduce ui map reduce join join columnar spark filter aggregate
640,toys,21.71,elt lake elt aggregate columnar scala row warehouse map etl
641,toys,4.36,reduce lake data data scala spark
642,toys,67.34,plan elt data scala row metrics map plan row filter
643,electronics,63.79,python filter map aggregate shuffle shuffle scala
644,toys,15.45,metrics aggregate map lake metrics ui metrics reduce ui data
645,electronics,55.77,partition spark columnar lake warehouse
646,books,17.9,columnar scala elt etl etl warehouse etl python map
647,toys,34.44,reduce map etl warehouse spark join spark
648,grocery,92.47,spark scala join lake metrics shuffle columnar metrics row shuffle plan
649,electronics,76.32,plan metrics columnar aggregate ui shuffle columnar join etl ui columnar
650,toys,63.41,columnar map map elt filter map warehouse row row join ui
651,books,44.92,ui data scala aggregate etl elt elt shuffle data
652,toys,77.7,spark warehouse join join ui columnar row map ui etl elt data
653,electronics,67.91,map columnar ui data shuffle warehouse scala scala etl filter
654,grocery,73.28,elt map lake aggregate partition aggregate shuffle filter
655,grocery,36.43,map elt metrics python partition
656,electronics,79.65,filter map lake elt row row
657,toys,80.17,scala spark etl spark data
658,toys,18.86,data partition scala plan ui map python etl data metrics elt data
659,grocery,87.62,aggregate ui plan python etl warehouse
660,grocery,78.95,aggregate data map warehouse elt metrics partition map filter scala
661,toys,7.52,data map partition shuffle shuffle map join filter python shuffle
662,books,71.86,warehouse spark data join lake join spark etl metrics partition
663,toys,8.7,metrics data warehouse spark warehouse scala aggregate plan
664,grocery,24.98,map plan spark columnar python shuffle columnar ui join lake
665,toys,48.78,reduce partition etl spark plan row filter
666,books,92.8,lake spark shuffle scala reduce lake elt reduce plan filter
667,grocery,11.35,python spark spark lake elt lake partition elt scala ui ui shuffle
668,books,96.86,join shuffle partition spark aggregate data data
669,grocery,66.67,warehouse python join map python lake warehouse aggregate ui
670,books,82.73,filter partition aggregate warehouse python metrics
671,electronics,66.71,ui map shuffle etl reduce warehouse
672,toys,88.28,filter etl row python join elt metrics
673,books,49.2,spark map spark metrics row columnar
674,electronics,55.92,metrics data scala scala partition map python data row
675,toys,69.98,aggregate data warehouse metrics plan warehouse python data columnar shuffle
676,toys,33.64,python aggregate ui row join
677,grocery,4.78,partition metrics filter python plan reduce ui
678,electronics,13.64,join lake plan partition join scala
679,books,70.44,join scala map python spark metrics metrics row data
680,electronics,77.11,python reduce ui data lake filter spark data reduce shuffle row
681,toys,39.33,metrics ui spark row plan columnar join partition scala join plan
682,toys,21.28,filter lake elt etl plan aggregate lake filter shuffle plan plan spark
683,grocery,28.86,columnar warehouse etl join warehouse etl data
684,electronics,15.18,reduce plan ui etl metrics plan
685,electronics,77.57,plan columnar columnar partition python
686,toys,36.46,partition elt aggregate aggregate partition row etl plan partition map
687,toys,65.76,scala plan partition data reduce
688,grocery,15.29,elt data map map ui map
689,books,90.0,row reduce spark aggregate plan map scala join aggregate elt
690,grocery,76.82,columnar spark metrics filter ui metrics reduce map filter lake
691,books,29.21,ui filter etl reduce plan data data reduce
692,electronics,79.69,join partition columnar metrics filter partition data python aggregate
693,books,36.11,row spark scala shuffle scala spark map columnar scala data row row
694,toys,92.66,ui map lake aggregate scala
695,toys,31.79,partition metrics etl join filter data
696,electronics,85.8,elt scala columnar python metrics scala
697,toys,21.86,columnar python scala map ui row spark aggregate data columnar etl python
698,books,12.75,etl etl columnar lake spark metrics row
699,grocery,67.85,shuffle etl partition ui lake lake filter etl filter python elt
700,toys,5.22,join partition filter python join map warehouse elt ui ui filter aggregate
701,toys,9.56,columnar lake join data metrics elt join
702,electronics,69.05,filter plan elt map lake row filter elt
703,toys,3.56,elt map plan data scala python row python map
704,grocery,75.27,columnar elt warehouse etl etl map spark plan reduce ui filter ui
705,books,51.92,spark map map lake row filter plan
706,grocery,18.47,filter join aggregate metrics warehouse partition join reduce
707,toys,17.15,spark etl elt etl elt scala
708,electronics,18.34,plan lake elt data filter columnar partition shuffle etl
709,books,89.74,join row columnar join spark partition warehouse reduce row row reduce
710,grocery,22.05,columnar map map join join join row etl
711,grocery,62.46,shuffle lake etl join row
712,toys,39.73,partition data spark map warehouse row etl join columnar
713,books,93.28,map etl scala lake python ui data columnar etl warehouse shuffle warehouse
714,books,78.57,reduce scala columnar ui join plan etl elt
715,books,30.23,warehouse elt python spark elt columnar elt lake reduce ui
716,electronics,19.62,reduce lake lake scala scala partition row metrics row shuffle plan map
717,grocery,51.11,python map warehouse metrics reduce join shuffle map shuffle plan lake
718,books,1.21,spark columnar lake row scala filter reduce aggregate
719,grocery,95.05,ui python data data etl columnar scala plan
720,toys,73.96,row etl elt plan filter python spark spark filter ui
721,electronics,44.97,ui join map scala scala data
722,books,23.22,shuffle aggregate columnar aggregate elt python data reduce ui aggregate aggregate
723,toys,74.2,aggregate scala python join metrics columnar columnar shuffle spark
724,electronics,54.23,metrics aggregate python shuffle reduce row plan join
725,electronics,67.61,spark etl map spark elt partition metrics filter data spark
726,electronics,75.42,metrics metrics partition ui ui scala
727,books,80.54,row warehouse warehouse spark partition shuffle plan
728,electronics,79.08,filter reduce columnar etl spark map data reduce columnar elt map
729,books,22.93,lake lake lake join python
730,grocery,67.44,metrics elt elt shuffle etl data columnar elt spark etl plan scala
731,electronics,16.33,join join row columnar scala lake scala
732,grocery,34.84,row ui map lake map elt data
733,grocery,27.3,row elt row columnar ui join shuffle reduce plan lake
734,grocery,31.3,filter etl elt ui row metrics
735,electronics,92.7,spark columnar shuffle etl partition warehouse map elt lake
736,electronics,41.76,aggregate join reduce python filter
737,toys,75.78,data row plan shuffle warehouse ui row etl
738,toys,79.68,row plan join warehouse lake python
739,electronics,49.24,plan shuffle aggregate plan reduce plan warehouse map reduce plan warehouse
740,toys,23.45,shuffle aggregate lake columnar shuffle join elt
741,toys,30.61,scala reduce warehouse ui elt
742,electronics,29.41,join map spark ui elt scala row data warehouse columnar
743,books,10.13,join scala spark filter plan warehouse python row spark warehouse
744,books,63.61,metrics etl lake data shuffle join
745,grocery,29.68,filter map row lake row warehouse reduce elt ui
746,grocery,6.95,shuffle etl data map partition warehouse python columnar elt
747,grocery,68.79,partition columnar aggregate spark columnar elt ui partition
748,electronics,97.26,row elt metrics reduce lake scala row columnar spark ui
749,grocery,45.81,scala partition warehouse scala python python data python partition warehouse partition
750,electronics,89.33,metrics scala shuffle reduce elt
751,grocery,87.52,partition row warehouse shuffle partition
752,books,41.25,python elt reduce elt spark
753,electronics,12.05,join map partition elt filter
754,electronics,80.32,aggregate filter plan data row map data join lake map
755,electronics,91.84,map metrics shuffle scala row etl metrics map
756,grocery,35.32,elt columnar warehouse columnar columnar etl scala aggregate ui columnar data data
757,grocery,51.6,scala join aggregate elt warehouse ui scala data aggregate aggregate join aggregate
758,books,70.79,lake map map python columnar
759,grocery,45.42,lake data join reduce metrics warehouse scala lake map etl
760,grocery,62.31,lake metrics filter shuffle aggregate join map scala
761,electronics,4.04,join shuffle map elt metrics join map elt aggregate join
762,electronics,55.16,ui aggregate filter shuffle metrics map map elt filter
763,grocery,66.9,spark etl join spark join metrics ui python ui lake lake
764,toys,16.16,metrics filter filter row reduce etl row filter lake plan etl
765,grocery,76.43,python scala map scala aggregate data ui ui filter aggregate python
766,toys,10.96,filter partition plan map data aggregate elt python shuffle partition
767,books,18.62,map shuffle aggregate lake filter shuffle etl filter map
768,electronics,85.19,row filter metrics elt filter map map scala ui reduce
769,grocery,39.65,filter spark elt etl columnar spark
770,toys,75.17,columnar etl warehouse join reduce
771,electronics,71.57,row reduce shuffle warehouse partition scala lake shuffle ui scala plan
772,toys,26.38,reduce aggregate map python plan
773,books,26.94,python data join reduce partition partition shuffle elt scala
774,books,51.32,metrics reduce elt columnar map
775,books,8.41,elt elt map map partition
776,grocery,72.17,columnar metrics ui aggregate warehouse python warehouse warehouse aggregate data columnar
777,grocery,29.66,scala elt warehouse join metrics
778,books,58.61,etl shuffle lake metrics shuffle plan spark aggregate
779,grocery,81.34,aggregate scala row aggregate filter lake ui
780,electronics,82.97,elt reduce aggregate spark filter plan warehouse ui metrics reduce row
781,electronics,77.98,filter metrics python warehouse ui ui filter columnar
782,toys,81.39,spark join etl ui scala metrics
783,toys,23.43,metrics reduce elt filter python shuffle
784,toys,6.85,aggregate plan etl elt aggregate elt spark aggregate plan elt etl map
785,books,91.18,columnar data map elt reduce scala plan spark shuffle reduce plan
786,books,95.55,columnar python etl scala spark data plan reduce metrics
787,books,38.55,filter lake elt etl python warehouse filter etl join
788,books,98.88,row columnar data elt filter elt
789,grocery,64.26,scala etl elt map row
790,electronics,88.34,row columnar join scala aggregate
791,toys,77.49,elt metrics aggregate lake partition join partition join data reduce lake
792,toys,92.57,scala elt columnar metrics join
793,toys,55.25,warehouse warehouse row python plan
794,books,34.59,ui metrics spark filter reduce
795,grocery,15.12,plan data aggregate join plan row metrics
796,toys,21.15,metrics scala scala columnar shuffle python elt plan data partition filter python
797,electronics,79.57,scala reduce columnar shuffle shuffle
798,electronics,33.05,lake row plan shuffle scala partition scala shuffle data join partition
799,toys,82.29,python partition columnar scala columnar plan reduce python lake scala lake ui
800,electronics,82.19,aggregate partition columnar map elt row plan
801,toys,38.09,spark plan spark scala shuffle columnar ui elt
802,grocery,22.49,join spark join lake scala data plan shuffle
803,grocery,51.8,data map data warehouse columnar
804,toys,62.66,ui plan plan reduce filter plan columnar row join aggregate spark
805,books,52.9,warehouse aggregate partition ui ui map metrics elt lake elt
806,grocery,2.71,python scala row plan lake elt row lake shuffle
807,grocery,99.03,warehouse shuffle map row reduce ui
808,electronics,35.98,partition ui join reduce columnar
809,grocery,95.64,metrics elt join spark partition join elt join partition
810,books,30.87,filter warehouse lake data spark etl etl elt aggregate
811,grocery,26.83,etl join warehouse join map aggregate scala spark row join ui elt
812,grocery,65.26,spark python etl ui elt filter map map warehouse plan elt warehouse
813,books,36.67,data ui ui lake etl aggregate metrics warehouse
814,toys,49.79,join warehouse row row filter
815,electronics,98.64,row etl aggregate shuffle partition elt filter reduce data aggregate reduce
816,electronics,8.76,aggregate warehouse ui elt plan spark
817,toys,37.83,scala row ui etl lake columnar join elt spark row reduce ui
818,books,5.63,columnar reduce etl etl data
819,grocery,73.04,plan warehouse scala shuffle filter metrics
820,grocery,29.8,scala shuffle aggregate lake row metrics plan warehouse map etl join
821,electronics,10.14,row etl join partition join aggregate metrics etl shuffle
822,electronics,65.61,metrics etl reduce etl plan shuffle
823,grocery,17.71,aggregate filter filter filter warehouse reduce
824,toys,55.5,row columnar elt reduce warehouse metrics scala etl etl ui shuffle reduce
825,books,30.72,elt scala join scala scala elt plan row plan lake spark lake
826,electronics,94.04,elt reduce plan row reduce
827,toys,28.27,join row metrics scala row row
828,grocery,73.79,lake elt lake join aggregate etl plan ui row
829,toys,83.7,reduce etl plan map spark shuffle columnar data
830,books,62.86,row spark lake data columnar warehouse row map
831,books,62.13,data data data python plan row
832,toys,34.59,columnar join data aggregate plan plan filter
833,toys,54.04,data ui columnar map reduce spark shuffle metrics spark
834,books,2.47,filter partition elt data partition ui scala scala partition reduce join
835,toys,63.13,data map elt scala join warehouse metrics warehouse row shuffle aggregate warehouse
836,grocery,6.28,join etl shuffle row row scala elt spark lake lake scala
837,toys,90.5,filter row reduce scala warehouse shuffle plan
838,books,43.45,etl data partition scala aggregate scala etl warehouse columnar partition lake reduce
839,electronics,89.89,data elt data ui metrics row
840,toys,63.78,warehouse warehouse elt ui python join reduce
841,books,50.02,data lake join lake shuffle
842,toys,90.48,elt scala plan ui python
843,toys,30.72,aggregate scala scala map etl filter filter plan shuffle
844,electronics,86.76,warehouse data shuffle aggregate etl etl scala plan
845,toys,33.26,spark python reduce aggregate ui scala row metrics columnar
846,toys,87.28,filter map reduce metrics columnar metrics aggregate
847,toys,17.84,elt etl python shuffle partition
848,toys,18.07,scala elt scala elt spark lake data etl shuffle aggregate
849,electronics,34.32,filter elt columnar aggregate spark row
850,toys,26.24,etl etl lake partition warehouse ui etl join metrics scala
851,toys,18.71,shuffle filter row elt metrics metrics
852,electronics,4.18,ui row ui columnar metrics
853,grocery,46.53,ui columnar join scala row filter
854,electronics,46.07,elt metrics elt columnar plan map
855,electronics,9.39,row map etl warehouse etl join spark row reduce
856,toys,60.95,lake elt reduce filter plan data reduce scala python lake elt
857,toys,92.57,join plan partition etl plan
858,books,2.17,data row data aggregate map join spark aggregate data lake
859,books,42.03,shuffle plan data lake reduce lake join columnar shuffle
860,grocery,49.85,data plan filter data etl data reduce data metrics row shuffle
861,grocery,43.27,columnar partition warehouse filter shuffle lake plan map
862,toys,7.43,partition row row shuffle filter ui lake columnar etl
863,books,43.42,columnar columnar lake python plan partition shuffle filter
864,books,79.2,etl join warehouse warehouse scala columnar reduce aggregate join data
865,toys,45.49,map partition scala join columnar columnar metrics plan row data aggregate lake
866,books,11.59,reduce reduce shuffle plan warehouse join row shuffle
867,toys,94.73,warehouse row metrics aggregate data lake elt plan warehouse
868,grocery,98.3,data filter elt warehouse warehouse
869,electronics,73.95,python lake warehouse elt map reduce elt
870,electronics,26.68,elt row metrics aggregate plan filter
871,grocery,5.43,map ui shuffle warehouse reduce
872,electronics,11.97,shuffle python filter aggregate plan aggregate partition
873,electronics,24.19,data data row join spark filter
874,grocery,49.27,data data elt ui data warehouse partition partition elt reduce warehouse ui
875,books,3.28,scala partition columnar map join reduce reduce map metrics python plan shuffle
876,toys,92.08,shuffle elt etl spark shuffle scala join ui elt etl
877,electronics,42.14,lake partition filter etl ui
878,toys,44.98,shuffle ui elt shuffle warehouse lake data metrics scala aggregate shuffle python
879,toys,55.41,filter plan spark join etl metrics ui
880,books,58.65,data lake elt metrics lake map data data python join
881,electronics,23.37,data metrics scala partition aggregate ui lake filter ui aggregate filter
882,books,80.55,elt etl scala filter map shuffle row elt warehouse elt
883,books,57.25,shuffle scala partition lake map
884,electronics,45.38,join partition shuffle ui elt ui metrics map python partition
885,books,64.74,partition ui plan map scala
886,grocery,25.53,shuffle data shuffle python metrics data row row lake row plan filter
887,toys,87.11,ui partition plan row shuffle plan ui join
888,toys,85.62,metrics lake join python metrics metrics map elt scala ui
889,toys,92.77,scala metrics join row python filter spark map shuffle python data
890,grocery,21.39,spark aggregate plan plan scala row filter columnar elt plan
891,grocery,47.67,row spark data spark join lake etl row scala
892,books,38.96,metrics map filter ui python reduce filter lake data
893,books,16.32,spark partition join metrics scala elt filter
894,electronics,57.94,map shuffle aggregate join ui data etl row reduce map
895,books,54.81,reduce row plan lake warehouse
896,toys,79.01,row partition columnar warehouse scala
897,electronics,80.85,join metrics warehouse columnar columnar join data partition reduce scala data
898,toys,18.22,partition warehouse warehouse ui scala partition partition row aggregate python
899,books,37.09,spark join python plan partition ui
900,books,71.06,partition join lake warehouse shuffle scala join scala
901,toys,17.85,etl join shuffle etl scala scala aggregate warehouse columnar warehouse
902,electronics,11.23,scala warehouse etl metrics data ui join columnar
903,electronics,51.78,etl reduce ui etl plan
904,grocery,10.06,partition ui partition partition warehouse reduce
905,books,98.24,aggregate elt scala python spark filter
906,grocery,84.06,shuffle row shuffle partition plan etl columnar scala
907,grocery,39.95,data elt lake lake partition ui ui warehouse warehouse
908,books,39.26,warehouse filter python python scala metrics join
909,books,15.72,ui reduce partition map spark
910,books,80.79,join etl python filter aggregate
911,grocery,1.91,map partition data reduce partition plan plan shuffle
912,books,55.07,filter spark scala warehouse spark etl metrics scala spark ui
913,grocery,57.24,data data aggregate scala ui reduce lake
914,grocery,9.63,lake filter aggregate columnar map partition elt filter
915,electronics,52.91,elt metrics warehouse ui reduce
916,electronics,24.58,lake lake map partition spark plan elt metrics metrics map
917,electronics,20.41,metrics scala scala row row spark join
918,toys,6.43,map spark etl partition data warehouse spark data etl ui
919,toys,76.33,spark filter aggregate shuffle columnar spark warehouse data metrics join aggregate metrics
920,grocery,74.16,python spark shuffle partition columnar plan partition partition filter ui
921,toys,28.23,metrics join etl python aggregate
922,books,30.24,join python python elt reduce ui plan etl
923,electronics,93.36,lake scala scala data row columnar map columnar lake spark scala
924,electronics,93.51,partition map aggregate row metrics ui python
925,grocery,30.68,python etl elt scala columnar scala scala lake map
926,books,31.61,metrics python partition warehouse reduce etl spark elt
927,electronics,79.05,python row data shuffle lake metrics
928,toys,23.02,filter shuffle join plan partition filter
929,toys,17.07,metrics elt scala join python plan metrics etl row data row
930,toys,6.15,columnar aggregate partition partition reduce plan map elt
931,grocery,87.86,metrics partition row ui aggregate metrics row python row ui scala plan
932,grocery,95.91,scala plan row ui scala warehouse data warehouse
933,electronics,68.89,row reduce metrics data python
934,books,22.74,aggregate map etl elt metrics
935,electronics,32.29,columnar scala shuffle data join
936,electronics,90.31,partition plan plan ui filter filter reduce aggregate
937,toys,92.56,ui spark partition elt warehouse columnar
938,toys,58.98,etl etl ui plan partition
939,grocery,68.41,ui filter elt lake join
940,toys,56.3,partition scala columnar shuffle python plan row
941,electronics,12.89,lake shuffle partition python join warehouse partition row data spark shuffle
942,grocery,77.45,metrics aggregate aggregate join etl spark shuffle shuffle
943,electronics,69.18,scala metrics plan data spark shuffle plan row scala plan row reduce
944,toys,97.74,etl elt filter metrics data plan shuffle map scala columnar
945,toys,53.42,metrics metrics filter filter aggregate join partition map row shuffle reduce plan
946,books,34.18,row data join join elt etl aggregate
947,grocery,82.53,aggregate reduce etl lake map spark
948,grocery,87.73,elt plan join metrics aggregate data shuffle
949,books,44.85,elt spark ui spark shuffle aggregate scala python spark map map
950,grocery,40.23,filter warehouse partition metrics lake data filter metrics warehouse lake filter python
951,books,50.46,lake row filter elt map etl elt python data partition filter plan
952,toys,87.16,ui reduce shuffle join etl columnar row etl
953,grocery,59.38,reduce row partition ui metrics metrics python reduce scala join lake
954,toys,65.18,aggregate scala filter elt scala metrics elt data reduce etl
955,electronics,92.38,elt reduce scala etl spark
956,grocery,29.57,reduce join ui shuffle plan elt etl elt
957,grocery,45.71,data data python warehouse shuffle python join columnar elt row plan elt
958,electronics,65.58,row partition spark elt python warehouse ui scala data row data
959,electronics,58.31,aggregate shuffle map shuffle shuffle python row filter plan etl
960,books,55.96,etl ui join columnar columnar etl columnar spark python plan etl warehouse
961,toys,38.72,plan reduce map aggregate reduce spark warehouse metrics
962,grocery,92.23,plan map spark elt ui shuffle warehouse
963,electronics,70.34,spark lake python metrics filter join spark
964,electronics,88.51,aggregate python elt plan partition
965,books,22.59,warehouse elt ui reduce aggregate
966,electronics,87.92,etl map columnar aggregate aggregate join
967,electronics,1.74,metrics python scala lake lake data reduce elt warehouse metrics
968,electronics,53.87,partition python shuffle plan scala python
969,electronics,87.1,lake reduce metrics join shuffle aggregate filter etl data ui
970,grocery,97.91,filter metrics shuffle spark lake scala columnar partition spark
971,grocery,83.95,python scala join shuffle reduce scala join spark reduce plan
972,grocery,42.62,join reduce warehouse warehouse metrics spark ui scala partition
973,books,44.79,reduce lake reduce partition lake
974,books,6.38,row columnar ui aggregate plan reduce spark
975,grocery,81.7,python scala reduce metrics columnar filter shuffle ui lake join warehouse
